output1,output2,output3
d_lock/d_0,surfaceShellWidth [nm],time [s]
0.226308705033747,63990.1309999214,3.79999999999969
particle size,particle number concentration in droplet core,particle number concentration in droplet surface shell 
[m³],[#/m³],[#/m³]
1.13097335529233e-28,0,0
1.13097335529233e-28,0,0
1.80939758410655e-28,-9.88131291682493e-323,0
2.894780502167e-28,1.58101006669199e-322,2.08779112566696e-313
4.63123982773747e-28,2.56914135837448e-322,2.08779112566696e-313
7.40932942099265e-28,4.15015142506647e-322,8.35116450266786e-313
1.18538802806088e-27,8.907276251383e-277,1.64221597535357e-274
1.89645337280983e-27,4.2659169783032e-234,4.10798170401935e-232
3.03405746481612e-27,1.48370317422544e-197,8.26347454868985e-196
4.85406329087193e-27,2.74481903925394e-166,9.63950004615694e-165
7.76581548142113e-27,1.48298366206348e-139,3.53293473458362e-138
1.24242076128033e-26,1.0038117797999e-116,1.72537509364103e-115
1.98769768835393e-26,2.95778514144078e-97,3.86342295914558e-96
3.18003547865385e-26,1.10469432088766e-80,1.14543110309351e-79
5.08760748918098e-26,1.32914572765468e-66,1.13480871207895e-65
8.13945320349928e-26,1.20494025943505e-54,8.73513301054579e-54
1.30219751804438e-25,1.814033802068e-44,1.14568894881164e-43
2.08333205389267e-25,8.87256858029632e-36,4.98799587453229e-35
3.33303695225498e-25,2.3742435107294e-28,1.20964439604244e-27
5.33238823083433e-25,5.31340997224267e-22,2.49037660770146e-21
8.53106780742502e-25,1.42515957994763e-16,6.22188280448777e-16
1.36485032192595e-24,6.22739827837304e-12,2.55864265638509e-11
2.18356768849036e-24,5.76489182282529e-08,2.24815174012882e-07
3.49339980628135e-24,0.000141580340240584,0.000527689443675923
5.58894614114933e-24,0.111830630209523,0.400592725985278
8.94152421732638e-24,33.4981723869154,115.83736018518
1.43051754856583e-23,4381.37550647807,14675.5967716223
2.28862597362253e-23,282304.881269793,918198.928992954
3.66147821981691e-23,9935279.40688078,31430219.4603912
5.85784785662176e-23,208629846.060104,642505557.894013
9.37172897154197e-23,2819527983.27482,8454378424.13274
1.49934423129061e-22,26166433989.9314,76352839643.4125
2.39873894212133e-22,176292162303.766,499991672025.141
3.83764341261142e-22,904430221631.383,2488449889011.31
6.13968727640513e-22,3681238815650.29,9800329630097.9
9.82263222481112e-22,12315097611230.1,31617569256960.5
1.57148238143475e-21,34909558420895.6,86079380661652.2
2.51414979064568e-21,86085316652983.2,202875089307105
4.02228446496024e-21,188875963349529,423030379802387
6.43508687400263e-21,375752745976058,794814102326283
1.02952298467956e-20,688090174483714,1.36557462183257e+15
1.64709132407445e-20,1.17210286734263e+15,2.1689092980272e+15
2.63511341680799e-20,1.86597438920829e+15,3.20467813427419e+15
4.21580917703118e-20,2.76810144565147e+15,4.40816264163454e+15
6.74469907206858e-20,3.77619516942494e+15,5.60992354804127e+15
1.07905656215678e-19,4.61156760175146e+15,6.50990057439787e+15
1.72633804991466e-19,4.82223264866865e+15,6.73189523499476e+15
2.76189698214369e-19,4.04380862766038e+15,6.03688173623646e+15
4.41864496953624e-19,2.49156634257752e+15,4.61294850197447e+15
7.06920768335599e-19,1.01554243396394e+15,3.06030990714341e+15
