output1,output2,output3,output4,output5,output6
d_lock/d_0,surfaceShellWidth [nm],time [s],,,
0.877142095813331,22.4558599935815,1.52e-05,,,
particle size,particle number concentration in droplet core at breakup,particle number concentration in droplet surface shell at breakup,particle size gas phase,particle number concentration after breakup,particle number concentration final
[m³],[#/m³],[#/m³],[m³],[#/m³],[#/m³]
5.34523515548332e-29,5.93431075759911e-08,1.75441098485556e-06,3.65147751362235e-29,2.26514723024336e-13,2.26514723024336e-13
5.34523515548332e-29,0,0,3.65147751362235e-29,0,0
6.36391531524576e-29,1.36971102387076e+18,2.25647561294777e+18,4.34736601782221e-29,3566825344698.54,1029688383694.17
7.57673272766566e-29,0,0,5.1758750320679e-29,0,0
9.02068553441506e-29,0,0,6.16227900704897e-29,0,0
1.0739822880868e-28,4.25502853699382e+16,7.97732833948109e+16,7.33666912849419e-29,111224381722.319,41613299248.4908
1.27865886769209e-28,2.16885049167188e+18,4.23684656840266e+18,8.73487127723816e-29,5676686205973.19,2284296186842.08
1.52234214480405e-28,1.74332012150109e+16,3.54487586956229e+16,1.03995389315832e-28,45689680460.7861,19658243990.6105
1.81246590815078e-28,1.79958385991457e+18,3.80495024803654e+18,1.23814543519766e-28,4722755680080.14,2160945090300.61
2.15788065739432e-28,1.47975614623639e+18,3.24975487746091e+18,1.47410777418707e-28,3888671491579.82,1882851006757.18
2.5691235959894e-28,2.56141820702075e+18,5.83637217630007e+18,1.75503916433844e-28,6740359782692.87,3437836703579.32
3.05874007853596e-28,2.87908018135004e+18,6.79868387397994e+18,2.08950968327971e-28,7586648372969.02,4059022776520.83
3.64166631868058e-28,3.81932181621132e+18,9.3359756369418e+18,2.48772267037439e-28,10078047409175.5,5634386869296.2
4.33568503243343e-28,5.15461809082876e+18,1.30272662368428e+19,2.96182598923436e-28,13620060093134.7,7928901818164.75
5.1619679167305e-28,6.17933856135906e+18,1.61268577146308e+19,3.52628260978298e-28,16349832893539.2,9878693604974.3
6.14572151206285e-28,7.85085268412024e+18,2.11314805466855e+19,4.19831181482483e-28,20800378534808.8,13005042167955.4
7.31695615182259e-28,1.00771534560526e+19,2.79380848812256e+19,4.99841449054547e-28,26734212540603.9,17249149948445.6
8.71140145589255e-28,1.31338500867295e+19,3.74561370462107e+19,5.95099852542454e-28,34888829098555.6,23171114852361
1.03715962964769e-27,1.71722182676184e+19,5.03085528143603e+19,7.08512339594716e-28,45674398218242,31151626179087.3
