output1,output2,output3,output4,output5,output6
d_lock/d_0,surfaceShellWidth [nm],time [s],,,
0.868186825375442,25.481205981555,1.6e-05,,,
particle size,particle number concentration in droplet core at breakup,particle number concentration in droplet surface shell at breakup,particle size gas phase,particle number concentration after breakup,particle number concentration final
[m³],[#/m³],[#/m³],[m³],[#/m³],[#/m³]
5.34523515548332e-29,1.08690692889711e-09,3.23805945476911e-08,3.65147751362235e-29,4.14876186989522e-15,4.14876186989522e-15
5.34523515548332e-29,0,0,3.65147751362235e-29,0,0
8.32289677658198e-29,1.70914343275421e+18,1.8108259269942e+18,5.68560026713008e-29,4273836682601.84,1529382557314.25
1.29593196068425e-28,4.44664139386843e+17,5.53988372753998e+17,8.85286853800762e-29,1115711799646.9,479810010405.748
2.017854710692e-28,1.64713062615083e+18,2.37556873615032e+18,1.378452189197e-28,4147655331112.72,2068952503964.19
3.14193781540199e-28,2.23646642853679e+18,3.67939209378349e+18,2.14634435126226e-28,5652462501808.42,3178547072229.27
4.8922121020634e-28,6.27180632226648e+18,1.16054489853533e+19,3.34200497507211e-28,15910389123467.4,9856633577204.14
7.61750889347675e-28,1.81981441713684e+19,3.73599349149806e+19,5.20373035521457e-28,46334136308133.5,31041442110613.4
1.18609824209632e-27,4.62341182988198e+19,1.03895307214114e+20,8.10256412296252e-28,118127684068016,84305745840104.5
1.84683609770212e-27,1.04371356446089e+20,2.53307348523719e+20,1.26162465933561e-27,267527664189142,200926293923431
2.87565013649065e-27,2.13251764083767e+20,5.51557160373536e+20,1.96443589570966e-27,548170850962271,428969137917344
4.47758397065534e-27,4.00602614862427e+20,1.08971619072812e+21,3.05876106637361e-27,1.03221806053322e+15,834827923832503
6.97190453033919e-27,7.00453662711416e+20,1.9786781548409e+21,4.76270021414118e-27,1.80819219529921e+15,1.50147994109597e+15
1.08557322651506e-26,1.14948214490971e+21,3.33351150256809e+21,7.41585002475306e-27,2.97129914097187e+15,2.51992734641244e+15
1.69031177205316e-26,1.77666894613026e+21,5.24092246277035e+21,1.15469857679352e-26,4.5965735940851e+15,3.96577526575496e+15
2.63193105444727e-26,2.57942980457423e+21,7.69955335880838e+21,1.79794467093928e-26,6.67761666618461e+15,5.84630887922897e+15
4.09809668837001e-26,3.47971850714456e+21,1.05272346525947e+22,2.7995228406149e-26,9.0147101140096e+15,8.00342452289296e+15
6.38101687308684e-26,4.26885013645089e+21,1.32603280196512e+22,4.35904856350788e-26,1.10749094458508e+16,9.98798188100468e+15
9.93567976328396e-26,4.59743712517443e+21,1.51447246313823e+22,6.78733679302526e-26,1.1966954401319e+16,1.10185252122315e+16
1.54705330391605e-25,4.1270061347619e+21,1.53869431647472e+22,1.05683476728421e-25,1.08245427156802e+16,1.02714461067991e+16
2.40886781999755e-25,2.87892434255179e+21,1.3699285750452e+22,1.64556402518351e-25,7.68688536407432e+15,7.62676344629223e+15
3.75077197374618e-25,1.43078990604114e+21,1.07029583925369e+22,2.56225575161262e-25,3.99873186335477e+15,4.22533725693804e+15
5.84020853375598e-25,4.59502750238238e+20,7.55598210585658e+21,3.98960747573453e-25,1.47291856785234e+15,1.67813292512815e+15
9.09360418508454e-25,8.65320287496329e+19,5.0806900226786e+21,6.21209174783553e-25,444969422075496,526774560410778
1.41593637619314e-24,8.82031544097826e+18,3.43032683303161e+21,9.67265178798609e-25,178800692083627,197389227844064
2.20470979451184e-24,4.67810111989964e+17,2.41052980135288e+21,1.50609804892578e-24,111594367720184,115489524642538
3.43288396268547e-24,1.32138523639425e+16,1.78757695850426e+21,2.34509768644358e-24,81936810524249.7,83322165266786.5
5.34523515548334e-24,213646136611597,1.37867905217342e+21,3.65147751362236e-24,63169772901378.2,63882814847447.4
8.322896776582e-24,2110941127037.75,1.06324722389554e+21,5.68560026713009e-24,48716585417361.6,49150178292232
1.29593196068425e-23,13197505214.3172,7.80223441498465e+20,8.85286853800764e-24,35748805239322.1,36042269187083.7
2.017854710692e-23,53258855.7752976,5.17116971021822e+20,1.37845218919701e-23,23693615037854.9,23897306590786.3
3.141937815402e-23,140887.788360528,2.92870516816657e+20,2.14634435126227e-23,13418939370026.1,13550795493336.4
4.89221210206341e-23,247.529974116312,1.33421272005158e+20,3.34200497507212e-23,6113186056313.59,6186028532926.7
7.61750889347677e-23,0.292123009523304,4.58845030181709e+19,5.20373035521458e-23,2102367185052.15,2134051001128.57
1.18609824209632e-22,0.000233856369360533,1.12216401728563e+19,8.10256412296254e-23,514160697186.44,524259330772.403
1.84683609770213e-22,1.28083254024336e-07,1.86563731006144e+18,1.26162465933561e-22,85481031762.0494,87704854197.5379
2.87565013649066e-22,4.83551156855368e-11,2.07030362081937e+17,1.96443589570967e-22,9485857117.77594,9811424808.30263
4.47758397065536e-22,1.26661793069655e-14,1.55525508308171e+16,3.05876106637362e-22,712597290.148631,743968915.220689
6.97190453033921e-22,2.31527295636255e-18,820161619790052,4.76270021414119e-22,37578719.6649592,39610367.113122
1.08557322651506e-21,2.96833457834042e-22,31517177999070.4,7.41585002475308e-22,1444075.37255994,1536139.91061394
1.69031177205316e-21,2.68113330624032e-26,906201856028.231,1.15469857679352e-21,41520.9693868239,44557.4059855224
2.63193105444727e-21,1.71290690219188e-30,19841691557.2301,1.79794467093929e-21,909.120040143558,984.042670211745
4.09809668837002e-21,7.76742636038429e-35,335286415.792051,2.79952284061491e-21,15.3623797096769,16.7708061585714
6.38101687308685e-21,2.50781473300563e-39,4421709.16542136,4.35904856350789e-21,0.202596860372331,0.223044360249064
9.93567976328399e-21,5.78077565729485e-44,45949.1957765082,6.78733679302527e-21,0.002105331321597,0.00233718546741449
1.54705330391605e-20,9.53709552387598e-49,379.404055053466,1.05683476728422e-20,1.73837915364201e-05,1.94569429504331e-05
2.40886781999756e-20,1.1285960335996e-53,2.50736284454939,1.64556402518352e-20,1.14884046217349e-07,1.29623862506292e-07
3.7507719737462e-20,9.59857208716021e-59,0.0133468679867191,2.56225575161263e-20,6.11535822179204e-10,6.9546758690179e-10
5.84020853375599e-20,5.8774180308105e-64,5.7544290006551e-05,3.98960747573455e-20,2.63660318929438e-12,3.02178048215045e-12
9.09360418508457e-20,2.5951833052934e-69,2.0193204181489e-07,6.21209174783555e-20,9.25225883244458e-15,1.0684710134883e-14
1.41593637619315e-19,8.2751067838864e-75,5.7923381863932e-10,9.67265178798611e-20,2.65397267634674e-17,3.08775910164737e-17
2.20470979451184e-19,1.90794993363617e-80,1.36330893511627e-12,1.50609804892579e-19,6.24650106189838e-20,7.32071128772158e-20
3.43288396268548e-19,3.184637517371e-86,2.64169228894383e-15,2.34509768644358e-19,1.21038843530275e-22,1.42873337570893e-22
5.34523515548335e-19,3.8522894850668e-92,4.22677050574768e-18,3.65147751362237e-19,1.93665029051554e-25,2.30213832907954e-25
8.32289677658202e-19,3.38041189294122e-98,5.59913822046832e-21,5.68560026713011e-19,2.56545100959734e-28,3.0707547311592e-28
1.29593196068425e-18,2.15378542782412e-104,6.15520714708523e-24,8.85286853800766e-19,2.82023443037092e-31,3.39874744908543e-31
2.01785471069201e-18,9.9718589649591e-111,5.62713524017867e-27,1.37845218919701e-18,2.57827887339592e-34,3.12802785294695e-34
3.141937815402e-18,3.35754227002025e-117,4.28622196106803e-30,2.14634435126227e-18,1.96389016030766e-37,2.39840927791668e-37
4.89221210206342e-18,8.22705546540972e-124,2.7248410835004e-33,3.34200497507213e-18,1.24848611222062e-40,1.53467701045658e-40
7.61750889347679e-18,1.46800884197043e-130,1.44794150882249e-36,5.2037303552146e-18,6.63427631071384e-44,8.20765440247441e-44
1.18609824209633e-17,1.90870215972119e-137,6.4402798176186e-40,8.10256412296256e-18,2.95085095413434e-47,3.6739492715808e-47
1.84683609770213e-17,1.80933555699259e-144,2.40075094280782e-43,1.26162465933561e-17,1.09999230015489e-50,1.37818306906483e-50
2.87565013649066e-17,1.25112828222725e-151,7.50885710177533e-47,1.96443589570967e-17,3.44045891959788e-54,4.33749201892825e-54
4.47758397065537e-17,6.31396745811485e-159,1.97259262288936e-50,3.05876106637363e-17,9.03815826052692e-58,1.14652467664929e-57
6.97190453033923e-17,2.32661068930941e-166,4.35664435059549e-54,4.7627002141412e-17,1.99615676691705e-61,2.5477546741952e-61
1.08557322651506e-16,6.26263979067625e-174,8.09652181831965e-58,7.4158500247531e-17,3.70971911304195e-65,4.76369417922474e-65
1.69031177205317e-16,1.23192522801195e-181,1.26714745854823e-61,1.15469857679352e-16,5.80590190639974e-69,7.50057680160803e-69
2.63193105444728e-16,1.77164112530006e-189,1.67132966413367e-65,1.79794467093929e-16,7.65781126557555e-73,9.952579976688e-73
4.09809668837003e-16,1.86334855695155e-197,1.85910410365051e-69,2.79952284061492e-16,8.51816888931497e-77,1.1137013472079e-76
6.38101687308687e-16,1.43381774699741e-205,1.74514340790395e-73,4.3590485635079e-16,7.99601606785278e-81,1.05165782854369e-80
9.93567976328401e-16,8.07462798224442e-214,1.38326262563056e-77,6.78733679302529e-16,6.3379262303072e-85,8.38521768157083e-85
1.54705330391606e-15,3.32904939111503e-222,9.26333971761822e-82,1.05683476728422e-15,4.24433962782563e-89,5.64849568801885e-89
2.40886781999756e-15,1.00512802346997e-230,5.24382317581107e-86,1.64556402518352e-15,2.40265035989935e-93,3.21631752365817e-93
3.7507719737462e-15,2.2230765351978e-239,2.51050054210479e-90,2.56225575161263e-15,1.15027811365562e-97,1.5488447374909e-97
5.84020853375601e-15,3.60282333598039e-248,1.01696566624092e-94,3.98960747573456e-15,4.65960205384137e-102,6.31077220005825e-102
9.09360418508459e-15,4.27961903307705e-257,3.48719784451183e-99,6.21209174783556e-15,1.59778788781539e-106,2.1765765714533e-106
1.41593637619315e-14,3.72696022174189e-266,1.0126317795679e-103,9.67265178798614e-15,4.63974475883815e-111,6.35716341264345e-111
2.20470979451185e-14,2.38013357775428e-275,2.49116375198728e-108,1.50609804892579e-14,1.14141825240983e-115,1.57297656005692e-115
3.43288396268549e-14,0,0,2.34509768644359e-14,0,0
5.34523515548337e-14,0,0,3.65147751362238e-14,0,0
