output1,output2,output3,output4,output5,output6
d_lock/d_0,surfaceShellWidth [nm],time [s],,,
0.877142095813331,86.4865851438324,1.52e-05,,,
particle size,particle number concentration in droplet core at breakup,particle number concentration in droplet surface shell at breakup,particle size gas phase,particle number concentration after breakup,particle number concentration final
[m³],[#/m³],[#/m³],[m³],[#/m³],[#/m³]
5.34523515548332e-29,0,0,3.65147751362235e-29,0,0
5.34523515548332e-29,0,0,3.65147751362235e-29,0,0
5.95849566078463e-29,31235859875812,37496751338861.3,4.07041267362242e-29,75287751.8035116,2376551.22152719
6.64211573613715e-29,0,0,4.5374123958797e-29,0,0
7.40416775707297e-29,0,0,5.05799114269182e-29,0,0
8.25365024529994e-29,0,0,5.63829605234482e-29,0,0
9.20059412574279e-29,0,0,6.28517952622759e-29,0,0
1.02561811744879e-28,0,0,7.00628014388886e-29,0,0
1.14328760562979e-28,644350314483483,878565882309046,7.81011286150394e-29,1553076711.96569,119896093.957255
1.27445735108318e-28,625696811576335,870273085917933,8.70616955883984e-29,1508116198.54544,131709458.975655
1.42067624255861e-28,0,0,9.70503112200529e-29,0,0
1.58367087329759e-28,387474280249433,560140430656539,1.08184923854897e-28,933928745.92364,102450782.389556
1.76536592912562e-28,4.7618742026105e+15,7.01376466782178e+15,1.20597014088417e-28,11477539101.2464,1398877253.42528
1.96790691567636e-28,1.9843715234236e+15,2.97672264882597e+15,1.34433147326039e-28,4782928062.02406,644181270.204028
2.19368549311754e-28,4.74281876530998e+15,7.24294429074257e+15,1.49856704468112e-28,11431609805.8886,1692705355.52786
2.4453677175378e-28,1.34284308701685e+16,2.08682731667219e+16,1.67049811156903e-28,32366529190.5968,5243507458.16015
2.72592552247672e-28,1.04181356827624e+16,1.64684077540277e+16,1.86215488366722e-28,25110818676.2774,4430370980.66666
3.03867181234067e-28,3.18909985600557e+16,5.12561718095907e+16,2.07580049731914e-28,76866831708.8617,14705411410.3338
3.38729958209731e-28,3.38625483460005e+16,5.53131777974985e+16,2.31395773921051e-28,81618855553.975,16861318820.3283
3.77592552518476e-28,5.8844927164681e+16,9.76476531036721e+16,2.57943883613444e-28,141833850224.847,31516703609.7254
4.20913864457006e-28,9.27227748859928e+16,1.56240748269167e+17,2.8753786625458e-28,223489581842.928,53218578861.0056
4.69205444096946e-28,1.29136954075942e+17,2.20863151966015e+17,3.20527175802852e-28,311258629849.973,79148243562.1642
