output1,output2,output3
d_lock/d_0,surfaceShellWidth [nm],time [s]
0.226308705033747,63970.4997367103,3.79999999999969
particle size,particle number concentration in droplet core,particle number concentration in droplet surface shell 
[m³],[#/m³],[#/m³]
1.13097335529233e-28,0,0
1.13097335529233e-28,0,0
1.80939758410655e-28,-1.08694442085074e-322,0
2.894780502167e-28,1.72922976044436e-322,2.08820909813821e-313
4.63123982773747e-28,2.81617418129511e-322,2.08820909813821e-313
7.40932942099265e-28,4.6194732752327e-317,1.04410454907898e-312
1.18538802806088e-27,1.31043463721712e-268,7.9705010726706e-267
1.89645337280983e-27,4.16594019849959e-227,1.5597718203447e-225
3.03405746481612e-27,1.42408330372796e-191,3.54372677899966e-190
4.85406329087193e-27,3.62277228199306e-161,6.3932075720107e-160
7.76581548142113e-27,3.58734095492072e-135,4.74241305625639e-134
1.24242076128033e-26,5.69011694706225e-113,5.9014614554822e-112
1.98769768835393e-26,4.84785326513147e-94,4.10099989339704e-93
3.18003547865385e-26,6.26626608350803e-78,4.46737320189528e-77
5.08760748918098e-26,3.04292758160265e-64,1.87916174037826e-63
8.13945320349928e-26,1.26980874310058e-52,6.95093001880883e-52
1.30219751804438e-25,9.84702588032244e-43,4.87101319013075e-42
2.08333205389267e-25,2.73122440032227e-34,1.24074960354853e-33
3.33303695225498e-25,4.49981887219958e-27,1.90271143062789e-26
5.33238823083433e-25,6.65190627893949e-21,2.6474359453527e-20
8.53106780742502e-25,1.25157709891663e-15,4.73202946073748e-15
1.36485032192595e-24,4.03885510049904e-11,1.461668658717e-10
2.18356768849036e-24,2.88537748716093e-07,1.0056981771577e-06
3.49339980628135e-24,0.000567821296901819,0.0019155442359908
5.58894614114933e-24,0.371142233096869,1.21650680918192
8.94152421732638e-24,94.5637363816892,302.039868597062
1.43051754856583e-23,10771.1955688261,33595.4064168868
2.28862597362253e-23,616697.181731582,1880830.63906406
3.66147821981691e-23,19621092.8981218,58553018.5085725
5.85784785662176e-23,378025995.683997,1103831296.80043
9.37172897154197e-23,4746976860.28054,13554736400.5646
1.49934423129061e-22,41379939169.6224,115406674764.52
2.39873894212133e-22,264316048726.422,718688770798.144
3.83764341261142e-22,1295931918891.04,3426991652363.11
6.13968727640513e-22,5075804133457.15,13013772138313.4
9.82263222481112e-22,16437188233180.5,40705123713727
1.57148238143475e-21,45335123555387.2,107949779418793
2.51414979064568e-21,109252739044894,248831091873582
4.02228446496024e-21,235134781293370,509196384966021
6.43508687400263e-21,460266856704424,941541890252304
1.02952298467956e-20,831221710996553,1.59547681788732e+15
1.64709132407445e-20,1.39824733932672e+15,2.50282104121846e+15
2.63511341680799e-20,2.19843276913054e+15,3.65422438787134e+15
4.21580917703118e-20,3.21587507232604e+15,4.96355026966773e+15
6.74469907206858e-20,4.30957120285866e+15,6.2242816383242e+15
1.07905656215678e-19,5.13538175721238e+15,7.09037931065205e+15
1.72633804991466e-19,5.18581639076469e+15,7.16113487208509e+15
2.76189698214369e-19,4.13935870805955e+15,6.24193109636546e+15
4.41864496953624e-19,2.38391544016199e+15,4.63380134589106e+15
7.06920768335599e-19,889953164501347,3.01373594800254e+15
1.13097335529232e-18,193040780139915,1.85748824697047e+15
1.80939758410654e-18,22239157079936.6,1.1675892276106e+15
2.89478050216699e-18,1304776382117.73,760874978011760
4.63123982773746e-18,39971455781.6682,507923089090647
7.40932942099263e-18,684772632.355845,343957062868321
1.18538802806088e-17,6966562.46649894,235081570280477
1.89645337280982e-17,43571.8452887789,161711565472858
3.03405746481612e-17,171.246127671115,111784170293675
4.85406329087192e-17,0.43028637272712,77573229042104.3
7.76581548142111e-17,0.000701359382224005,54004805737019.9
1.24242076128033e-16,7.50899403917388e-07,37689825723516.5
1.98769768835393e-16,5.33754473817936e-10,26337896978982.2
3.18003547865384e-16,2.54244163797751e-13,18391989045963
5.08760748918097e-16,8.18104104250639e-17,12797497330782.7
8.13945320349926e-16,1.79084802079397e-20,8850490411330.71
1.30219751804438e-15,2.68322563365979e-24,6087044800995.03
2.08333205389266e-15,2.76646817617107e-28,4193825960339.56
3.33303695225497e-15,1.9719607545156e-32,2939670811023.71
5.33238823083432e-15,9.7580024602389e-37,2136834150286.35
8.531067807425e-15,3.36422705936605e-41,1631361354590.4
1.36485032192594e-14,8.10695466670851e-46,1306897658714.89
2.18356768849036e-14,1.36931769531758e-50,1084827019673.54
3.49339980628134e-14,1.62521842919304e-55,916261562603.792
5.58894614114931e-14,1.35845983869983e-60,771473232484.67
8.94152421732636e-14,8.01256006230754e-66,632423168356.318
1.43051754856583e-13,3.34084371761004e-71,490125520902.787
2.28862597362253e-13,9.86263974999744e-77,345675933791.718
3.66147821981691e-13,2.06445351312771e-82,211263396104.283
5.85784785662174e-13,3.06799404550837e-88,105357532002.91
9.37172897154195e-13,3.24079258014517e-94,40053364527.3496
1.49934423129061e-12,2.43589725890145e-100,10846867827.8593
2.39873894212133e-12,1.30406987696296e-106,1982255538.10569
3.83764341261142e-12,4.97696312675924e-113,238396758.442507
6.13968727640512e-12,1.35520718954731e-119,19088808.4587913
9.8226322248111e-12,2.63483206283246e-126,1056392.30697247
1.57148238143475e-11,3.6602417825182e-133,42042.5849237629
2.51414979064568e-11,3.63544802575713e-140,1238.57904790148
4.02228446496023e-11,2.58320981434305e-147,27.5480331015232
6.43508687400262e-11,1.31389249327139e-154,0.469562247347275
1.02952298467956e-10,4.78616443862637e-162,0.00621000272521802
1.64709132407444e-10,1.24927557185703e-169,6.43913796796669e-05
2.63511341680799e-10,2.33762211212441e-177,5.28178737694623e-07
4.21580917703117e-10,3.13708998677526e-185,3.45366699582613e-09
6.74469907206856e-10,3.02062675299613e-193,1.81214152754984e-11
1.07905656215678e-09,2.08764162680221e-201,7.67343148675848e-14
1.72633804991466e-09,1.0360162212367e-209,2.63520169123999e-16
2.76189698214368e-09,3.69303828123574e-218,7.37092981533323e-19
4.41864496953623e-09,9.45922422278154e-227,1.68550661661641e-21
7.06920768335598e-09,0,0
1.13097335529232e-08,0,0
