output1,output2,output3
d_lock/d_0,surfaceShellWidth [nm],time [s]
0.18754057631361,45923.8760071604,2.19799999999987
particle size,particle number concentration in droplet core,particle number concentration in droplet surface shell 
[m³],[#/m³],[#/m³]
3.21555098064305e-25,0,0
3.21555098064305e-25,0,0
5.00683283583417e-25,6.39665378513542e-35,1.66984983220762e-34
7.79598121656092e-25,3.63874773793462e-28,9.85473306892453e-28
1.21388760363606e-24,3.26850926886137e-22,9.18708743477913e-22
1.89010603454392e-24,5.7112538599656e-17,1.66571785877742e-16
2.94302438802271e-24,2.32368257575834e-12,7.02679039888269e-12
4.58249028900984e-24,2.57016336626695e-08,8.04824079999833e-08
7.13525084410802e-24,8.83119727866025e-05,0.000285870026173638
1.1110073649353e-23,0.105733785667304,0.353048714485151
1.72991446538945e-23,48.6872323513139,167.262283495069
2.69359515698436e-23,9385.27929304688,33076.5571978333
4.19411191413801e-23,814606.843519861,2935520.97507172
6.53051914750549e-23,33922084.3217567,124539904.47734
1.01684650312201e-22,719801747.1651,2681672360.93113
1.58329956249559e-22,8374516312.29685,31524588541.0059
2.46530572402229e-22,59696819928.913,226003701351.638
3.83864965093363e-22,300649984285.005,1138984864461.03
5.9770400883877e-22,1195050464073.88,4505905611050.29
9.30666027557493e-22,3953357518131.8,14749007109292.2
1.44911066688744e-21,11204886733840.8,41102366918817.9
2.25636443440204e-21,27839688110880.2,99732245542001
3.51331377041744e-21,61822806889164.6,214716704100568
5.47046986790319e-21,124775037714965,416899452887242
8.51789579046938e-21,232153563695534,740257302497742
1.32629464103247e-20,402701469523944,1.2157450509223e+15
2.06513148094585e-20,656193957259396,1.8621420812139e+15
3.21555098064306e-20,1.00720277897657e+15,2.67242268840771e+15
5.00683283583419e-20,1.45105546931353e+15,3.59403362089669e+15
7.79598121656094e-20,1.93883679350544e+15,4.50525802592877e+15
1.21388760363606e-19,2.34809514071223e+15,5.2022926545209e+15
1.89010603454393e-19,2.48388863752096e+15,5.43337795193592e+15
2.94302438802271e-19,2.17460271927893e+15,5.02219962390211e+15
4.58249028900985e-19,1.46597610409967e+15,4.0454860878618e+15
7.13525084410804e-19,696562708248473,2.86882983684606e+15
1.1110073649353e-18,211507095298558,1.88620541046183e+15
1.72991446538946e-18,37329880967563.9,1.23293360775564e+15
2.69359515698436e-18,3594573979617.81,828894205323452
4.19411191413802e-18,222206544452.017,570802353049454
6.5305191475055e-18,38648973192.2957,398771947364491
1.01684650312201e-17,24092005155.4793,281148445288778
1.5832995624956e-17,17044114972.3204,199470926573451
2.4653057240223e-17,12146499964.1658,142158490684935
3.83864965093364e-17,8683138460.93912,101624521777494
5.97704008838771e-17,6216453986.18088,72755279375060.6
9.30666027557496e-17,4447228117.10768,52048856924866.7
1.44911066688744e-16,3170213939.50508,37103113987738.2
2.25636443440204e-16,2246263491.65424,26289509783164.2
3.51331377041745e-16,1582112870.8627,18516515070983.1
5.47046986790321e-16,1113795200.74447,13035483119057.1
8.5178957904694e-16,793502130.920736,9286881130067.04
1.32629464103247e-15,581644750.287303,6807373849869.71
2.06513148094585e-15,444571475.669125,5203114506531.9
3.21555098064307e-15,355521045.415819,4160898325733.27
5.0068328358342e-15,295391885.551627,3457166932521.27
7.79598121656096e-15,251777451.399034,2946718315250.02
1.21388760363606e-14,216945497.047849,2539056877451.46
1.89010603454393e-14,185976525.317841,2176606484478.64
2.94302438802272e-14,155666217.664462,1821864873556.86
4.58249028900986e-14,124239882.944787,1454061658514.86
7.13525084410805e-14,91668756.1672526,1072860183599.7
1.1110073649353e-13,60071552.5243038,703057176348.673
1.72991446538946e-13,33253516.6318759,389187935460.992
2.69359515698437e-13,14658770.554116,171561303170.087
4.19411191413803e-13,4828942.08456016,56516308369.8991
6.53051914750552e-13,1119973.07348019,13107786856.4985
1.01684650312201e-12,175108.648906312,2049412526.91104
1.5832995624956e-12,18197.153406062,212973341.850513
2.4653057240223e-12,1282.60346790592,15011158.1044309
3.83864965093365e-12,63.927680577913,748187.997629055
5.97704008838773e-12,2.34424450553156,27436.2465005895
9.30666027557498e-12,0.064946010566311,760.10618812271
1.44911066688745e-11,0.00138300593637711,16.1862347091721
2.25636443440205e-11,2.29341645548475e-05,0.268413721575174
3.51331377041745e-11,2.99399172907205e-07,0.003504066871255
5.47046986790322e-11,3.1057891269377e-09,3.63491077250885e-05
8.51789579046943e-11,2.58070387047763e-11,3.02036871019112e-07
1.32629464103247e-10,1.7297106249978e-13,2.02439493705319e-09
2.06513148094586e-10,0,0
3.21555098064308e-10,0,0
