output1,output2,output3,output4,output5,output6
d_break/d_0,surfaceShellWidth [nm],time [s],mean diam [nm],geo. std [-],total number concentration [#/m³]
0.819982392786851,0.467364869502344,3e-07,NaN,NaN,0
particle size,particle number concentration in droplet core at breakup,particle number concentration in droplet surface shell at breakup,particle size gas phase,particle number concentration after breakup,particle number concentration final
[m³],[#/m³],[#/m³],[m³],[#/m³],[#/m³]
5.34523515548332e-29,3.01107043e+26,7.92001978110997e+28,5.4562032764139e-29,1.04922250200338e+18,1.04922250200338e+18
5.34523515548332e-29,0,0,5.4562032764139e-29,0,0
7.60375369614756e-29,0,0,3.88080455051684e-29,0,0
1.08165625252926e-28,0,0,5.52055823301762e-29,0,0
1.53868772633761e-28,0,0,7.85315591327057e-29,0,0
2.1888283950154e-28,0,0,1.11713444899984e-28,0,0
3.11367255409855e-28,0,0,1.58915650080659e-28,0,0
4.42929048080004e-28,0,0,2.26062170611321e-28,0,0
6.30079554687977e-28,0,0,3.21580064364736e-28,0,0
8.96306636371455e-28,0,0,4.57457068191348e-28,0,0
1.27502246410987e-27,0,0,6.50746089163268e-28,0,0
1.81375683054863e-27,0,0,9.25705387470713e-28,0,0
2.58012225898975e-27,0,0,1.31684304932842e-27,0,0
3.670299545789e-27,0,0,1.87324783892914e-27,0,0
5.22110869315689e-27,0,0,2.66474996229982e-27,0,0
7.42718016490897e-27,0,0,3.79068493448053e-27,0,0
1.05653815011201e-26,0,0,5.39236043748592e-27,0,0
1.50295648934994e-26,0,0,7.67079079120252e-27,0,0
2.13799966299335e-26,0,0,1.09119247580992e-26,0,0
3.04136719282989e-26,0,0,1.55225328349429e-26,0,0
4.32643398487323e-26,0,0,2.20812579772454e-26,0,0
6.15447916634148e-26,0,0,3.14112367512642e-26,0,0
8.75492702335576e-26,0,0,4.46834050515023e-26,0,0
1.24541403281488e-25,0,0,6.35634535121023e-26,0,0
1.77163796910519e-25,0,0,9.04208758873301e-26,0,0
2.52020694393583e-25,0,0,1.28626346500749e-25,0,0
3.58506825379809e-25,0,0,1.82974748383842e-25,0,0
5.09986468187359e-25,0,0,2.60286943203626e-25,0,0
7.25470700477392e-25,0,0,3.70265806624659e-25,0,0
1.03200333750386e-24,0,0,5.26713963704883e-25,0,0
1.46805499921397e-24,0,0,7.49266053192265e-25,0,0
2.08835127019061e-24,0,0,1.06585292426548e-24,0,0
2.97074089870055e-24,0,0,1.51620702863175e-24,0,0
4.2259660111714e-24,0,0,2.15684894354122e-24,0,0
6.01156052868416e-24,0,0,3.06818084694734e-24,0,0
8.55162107184483e-24,0,0,4.36457719385696e-24,0,0
1.21649316525184e-23,0,0,6.20873899923124e-24,0,0
1.73049718722535e-23,0,0,8.83211322618625e-24,0,0
2.46168297573204e-23,0,0,1.25639399642718e-23,0,0
3.50181619348672e-23,0,0,1.78725728920469e-23,0,0
4.98143618567262e-23,0,0,2.54242588463408e-23,0,0
7.08623899737605e-23,0,0,3.61667534825594e-23,0,0
1.00803826961306e-22,0,0,5.14482670025399e-23,0,0
1.43396398763965e-22,0,0,7.31866679391351e-23,0,0
2.03985580689977e-22,0,0,1.0411018049974e-22,0,0
2.90175468059827e-22,0,0,1.48099783593132e-22,0,0
4.12783109369442e-22,0,0,2.1067628348207e-22,0,0
5.87196073189669e-22,0,0,2.99693188909399e-22,0,0
8.35303626875804e-22,0,0,4.26322346275528e-22,0,0
1.18824389489148e-21,0,0,6.06456034570799e-22,0,0
1.69031177205315e-21,0,0,8.62701486517058e-22,0,0
2.40451804467501e-21,0,0,1.22721815335792e-21,0,0
3.42049740335473e-21,0,0,1.74575379719302e-21,0,0
4.86575782297269e-21,0,0,2.48338595063547e-21,0,0
6.92168313549941e-21,0,0,3.53268931147668e-21,0,0
9.84629715890523e-21,0,0,5.02535410101203e-21,0,0
1.40066463378304e-20,0,0,7.14871351933353e-21,0,0
1.99248649991863e-20,0,0,1.01692545349611e-20,0,0
2.83437045285811e-20,0,0,1.44660626722762e-20,0,0
4.03197505446746e-20,0,0,2.05783982020294e-20,0,0
5.73560270622173e-20,0,0,2.92733746669615e-20,0,0
8.15906298010643e-20,0,0,4.16422335683927e-20,0,0
1.16065062597747e-19,0,0,5.92372979300431e-20,0,0
1.65105953816809e-19,0,0,8.42667927571525e-20,0,0
2.34868059135373e-19,0,0,1.19871982850446e-19,0,0
3.34106698921483e-19,0,0,1.70521409470375e-19,0,0
4.75276573047641e-19,0,0,2.4257170354845e-19,0,0
6.7609485717314e-19,0,0,3.45065358919753e-19,0,0
9.61764753025496e-19,0,0,4.90865588131699e-19,0,0
1.36813855385578e-18,0,0,6.98270688098578e-19,0,0
1.94621719776934e-18,0,0,9.93310522567827e-19,0,0
2.76855101423623e-18,0,0,1.41301333574621e-18,0,0
3.93834497363069e-18,0,0,2.01005289044472e-18,0,0
5.60241117160742e-18,0,0,2.85935915831361e-18,0,0
7.96959411780947e-18,0,0,4.06752222048397e-18,0,0
1.13369812491645e-17,0,0,5.78616959189154e-18,0,0
1.61271881533706e-17,0,0,8.2309958572634e-18,0,0
2.29413978922636e-17,0,0,1.17088328861338e-17,0,0
3.26348109940764e-17,0,0,1.66561580072269e-17,0,0
4.64239752791284e-17,0,0,2.36938730153243e-17,0,0
6.60394656830802e-17,0,0,3.37052289142988e-17,0,0
9.39430757810927e-17,0,0,4.79466761483247e-17,0,0
1.33636779097582e-16,0,0,6.82055523051816e-17,0,0
1.90102235626079e-16,0,0,9.70243974965805e-17,0,0
2.704260027372e-16,0,0,1.38020049562142e-16,0,0
3.84688916022342e-16,0,0,1.96337566350851e-16,0,0
5.47231259614694e-16,0,0,2.79295943472464e-16,0,0
7.78452508057424e-16,0,0,3.97306666727133e-16,0,0
1.10737151186789e-15,0,0,5.65180379862509e-16,0,0
1.57526843655069e-15,0,0,8.03985657761215e-16,0,0
2.24086552760162e-15,0,0,1.14369316578715e-15,0,0
3.18769690059217e-15,0,0,1.6269370539651e-15,0,0
4.53459228359881e-15,0,0,2.31436565046088e-15,0,0
6.45059044812387e-15,0,0,3.29225297990423e-15,0,0
9.17615400174494e-15,0,0,4.68332637132333e-15,0,0
1.30533480525383e-14,0,0,6.66216904782651e-15,0,0
1.85687702438628e-14,0,0,9.47713076192812e-15,0,0
2.64146199872697e-14,0,0,1.34814963165767e-14,0,0
3.75755712364678e-14,0,0,1.91778236999754e-14,0,0
5.34523515548331e-14,0,0,2.72810163820694e-14,0,0
