output1,output2,output3,output4,output5,output6
d_break/d_0,surfaceShellWidth [nm],time [s],mean diam [nm],geo. std [-],total number concentration [#/m³]
0.877142095813331,89.3285440529824,1.52e-05,6.05319685298945e-09,1.45112431817094,1.0120901299068e+17
particle size,particle number concentration in droplet core at breakup,particle number concentration in droplet surface shell at breakup,particle size gas phase,particle number concentration after breakup,particle number concentration final
[m³],[#/m³],[#/m³],[m³],[#/m³],[#/m³]
5.34523515548332e-29,0,0,5.4562032764139e-29,0,0
5.34523515548332e-29,0,0,5.4562032764139e-29,0,0
7.60375369614756e-29,176350101002946,211636212380086,3.88080455051684e-29,424118410.57016,1402880.64156565
1.08165625252926e-28,40942963713217.4,52731245464580.6,5.52055823301762e-29,98466996.0228232,764788.458868799
1.53868772633761e-28,5.04522692122668e+15,6.942109073712e+15,7.85315591327057e-29,12133668257.784,193418301.836892
2.1888283950154e-28,2.02470446238607e+16,2.96278279403521e+16,1.11713444899984e-28,48693731025.8273,1422683164.86493
3.11367255409855e-28,9.97421629220234e+16,1.54494512095922e+17,1.58915650080659e-28,239877875684.415,11680500819.1238
4.42929048080004e-28,3.75445616054709e+17,6.12647815069177e+17,2.26062170611321e-28,902939079881.777,67645672243.836
6.30079554687977e-28,1.27068654610793e+18,2.17384706923603e+18,3.21580064364736e-28,3055975330908.25,329323354216.903
8.96306636371455e-28,3.71069803245427e+18,6.62262790161256e+18,4.57457068191348e-28,8924153389648.71,1307155020089.42
1.27502246410987e-27,9.70420001091548e+18,1.79775948038342e+19,6.50746089163268e-28,23338403897005.2,4429770959605.34
1.81375683054863e-27,2.28984496355301e+19,4.38063890068486e+19,9.25705387470713e-28,55070306218762.5,13009982623435.2
2.58012225898975e-27,4.94325605310375e+19,9.71426284517319e+19,1.31684304932842e-27,118884303913649,33786105593417.6
3.670299545789e-27,9.86394995564538e+19,1.98042189106356e+20,1.87324783892914e-27,237225992689511,78794539024986.3
5.22110869315689e-27,1.83759425006484e+20,3.74843652804977e+20,2.66474996229982e-27,441937684287092,167405049688033
7.42718016490897e-27,3.22347005158346e+20,6.64276230890589e+20,3.79068493448053e-27,775237999310959,327981193978026
1.05653815011201e-26,5.36455013577375e+20,1.11040998510435e+21,5.39236043748592e-27,1.29016341020996e+15,598864548715655
1.50295648934994e-26,8.52314116982856e+20,1.7619238855421e+21,7.67079079120252e-27,2.04979813759926e+15,1.02818186786127e+15
2.13799966299335e-26,1.29910810186819e+21,2.66725755425625e+21,1.09119247580992e-26,3.1243285951617e+15,1.67189144101709e+15
3.04136719282989e-26,1.90578123710393e+21,3.86644370941832e+21,1.55225328349429e-26,4.58336516156264e+15,2.58878686014218e+15
4.32643398487323e-26,2.69403958710954e+21,5.37783743391624e+21,2.20812579772454e-26,6.47911048079811e+15,3.83019318328871e+15
6.15447916634148e-26,3.66483315203037e+21,7.17768353919262e+21,3.14112367512642e-26,8.81384928391955e+15,5.42088614641791e+15
8.75492702335576e-26,4.77572835376018e+21,9.17211342088422e+21,4.46834050515023e-26,1.1485529677569e+16,7.32754228154766e+15
1.24541403281488e-25,5.91002677512081e+21,1.11667836279129e+22,6.35634535121023e-26,1.4213494339022e+16,9.41417427733066e+15
1.77163796910519e-25,6.84941794564006e+21,1.28511971046797e+22,9.04208758873301e-26,1.64727110215098e+16,1.13948708233316e+16
2.52020694393583e-25,7.28283403023903e+21,1.38306541300491e+22,1.28626346500749e-25,1.75150679006397e+16,1.28167167724302e+16
3.58506825379809e-25,6.90286883701069e+21,1.37432719375308e+22,1.82974748383842e-25,1.66012593294651e+16,1.31341228209805e+16
5.09986468187359e-25,5.61154503096974e+21,1.24584476995876e+22,2.60286943203626e-25,1.34956518076393e+16,1.19349229986692e+16
7.25470700477392e-25,3.72310995861439e+21,1.02463848425439e+22,3.70265806624659e-25,8.95400381993032e+15,9.27959204130768e+15
1.03200333750386e-24,1.89681348537198e+21,7.7227157928027e+21,5.26713963704883e-25,4.56179790081648e+15,5.9002319520763e+15
1.46805499921397e-24,6.91275761938608e+20,5.51027135324373e+21,7.49266053192265e-25,1.66250416501991e+15,2.90417232273776e+15
2.08835127019061e-24,1.66886728500154e+20,3.89970742648212e+21,1.06585292426548e-24,401359191938070,1.03949970972865e+15
2.97074089870055e-24,2.47614410623041e+19,2.83552151353378e+21,1.51620702863175e-24,59550762755705.6,253453322799476
4.2259660111714e-24,2.12728373138584e+18,2.13413632955346e+21,2.15684894354122e-24,5116074160751.71,39691046726361.5
6.01156052868416e-24,1.03328548897131e+17,1.63835507525386e+21,3.06818084694734e-24,248503061101.395,3844740468969.67
8.55162107184483e-24,2.92406706755772e+15,1.2481422058114e+21,4.36457719385696e-24,7032321898.54212,230570874382.038
1.21649316525184e-23,51747238860291.5,9.11822766010657e+20,6.20873899923124e-24,124451058.275576,8952806699.19725
1.73049718722535e-23,610505889846.731,6.1526433179188e+20,8.83211322618625e-24,1468254.26338254,240006673.625046
2.46168297573204e-23,4963332939.7597,3.684529849727e+20,1.25639399642718e-23,11936.7148959345,4664915.32823321
3.50181619348672e-23,28252275.7919665,1.87584246272099e+20,1.78725728920469e-23,67.9461493684006,67550.7171462537
4.98143618567262e-23,113858.6478016,7.75341136008632e+19,2.54242588463408e-23,0.273827735060248,741.194275738122
7.08623899737605e-23,327.973429728404,2.48214333859346e+19,3.61667534825594e-23,0.000788769436107846,6.24588864786377
1.00803826961306e-22,0.680949436251383,5.89413881261248e+18,5.14482670025399e-23,1.63766956150912e-06,0.0408966440365067
1.43396398763965e-22,0.00102667363841072,1.0056793575709e+18,7.31866679391351e-23,2.46912924472759e-09,0.000210224313337368
2.03985580689977e-22,1.13156505458286e-06,1.21856116964016e+17,1.0411018049974e-22,2.72139096987761e-12,8.56136187614275e-07
2.90175468059827e-22,9.1714963419544e-10,1.06203827979442e+16,1.48099783593132e-22,2.20572623943934e-15,2.78481783186457e-09
4.12783109369442e-22,5.49580922440865e-13,686563713260876,2.1067628348207e-22,1.32173095438947e-18,7.28790155724944e-12
5.87196073189669e-22,2.44644755957174e-16,34019001711346.5,2.99693188909399e-22,5.88365668410637e-22,1.5445332656374e-14
8.35303626875804e-22,8.1250635229743e-20,1322984071920.66,4.26322346275528e-22,1.95406127217806e-25,2.66649225814386e-17
1.18824389489148e-21,2.02112426502712e-23,40983575235.407,6.06456034570799e-22,4.86076280066189e-29,3.77005836218038e-20
1.69031177205315e-21,3.77884230374832e-27,1021781522.85897,8.62701486517058e-22,9.08803897784132e-33,4.38655449309437e-23
2.40451804467501e-21,5.32722709113908e-31,20674748.9328166,1.22721815335792e-21,1.28118729379263e-36,4.21872488535888e-26
3.42049740335473e-21,5.67892709294377e-35,342006.697530649,1.74575379719302e-21,1.36577042979006e-40,3.36719498373843e-29
4.86575782297269e-21,4.58968214390086e-39,4655.47402965337,2.48338595063547e-21,1.10380923221641e-44,2.23863208233731e-32
6.92168313549941e-21,2.81886133718706e-43,52.450176495783,3.53268931147668e-21,6.77930425412961e-49,1.24391072501693e-35
9.84629715890523e-21,1.31846641699091e-47,0.49162880158226,5.02535410101203e-21,3.17088494979076e-53,5.79472428562351e-39
1.40066463378304e-20,4.70558728269624e-52,0.00385173071604333,7.14871351933353e-21,1.13168418264924e-57,2.26960877408913e-42
1.99248649991863e-20,1.2837413278075e-56,2.53290499635015e-05,1.01692545349611e-20,3.0873718157034e-62,7.49350051899214e-46
2.83437045285811e-20,2.68140129048324e-61,1.40333578882338e-07,1.44660626722762e-20,6.44871563414378e-67,2.0906804489523e-49
4.03197505446746e-20,4.29444914570958e-66,6.57293283682309e-10,2.05783982020294e-20,1.03280629588202e-71,4.94008839431463e-53
5.73560270622173e-20,5.28080959362921e-71,2.61062573740768e-12,2.92733746669615e-20,1.27002397993311e-76,9.90671816237965e-57
8.15906298010643e-20,4.99203701334349e-76,8.81706750781922e-15,4.16422335683927e-20,1.20057476098145e-81,1.68932233150031e-60
1.16065062597747e-19,3.63188374656049e-81,2.53858199364235e-17,5.92372979300431e-20,8.73460663309236e-87,2.45394202992674e-64
1.65105953816809e-19,2.03570914764368e-86,6.24508182379288e-20,8.42667927571525e-20,4.89583914708023e-92,3.04168257132754e-68
2.34868059135373e-19,8.79925889900208e-92,1.31542812456674e-22,1.19871982850446e-19,2.11620389056526e-97,3.22212437748926e-72
