output1,output2,output3,output4,output5,output6,output7,output8
d_break/d_0,surfaceShellWidth [nm],time [s],mean diam [nm],geo. std [-],N_total [#/m³],,
0.877116478621237,107.234372812328,0.002,5.87307691414054e-09,1.45208654496804,1.01594508508259e+17,,
particle size,N in droplet core at breakup,N in droplet surface shell at breakup,particle size gas phase,N after breakup,N final,binMidPoints [m],dN/(dlogDp*N_total) [-]
[m³],[#/m³],[#/m³],[m³],[#/m³],[#/m³],[m],[-]
5.34523515548332e-29,-1.9679354760827e-150,-2.54431910260467e-146,5.05088531873744e-29,-2.58165354328689e-153,7.34538709916945e-218,1.12946270589708e-10,0
5.34523515548332e-29,0,0,5.05088531873744e-29,0,0,1.42190930212764e-10,0
7.60375369614756e-29,177141919957735,210714975010423,5.05088531873744e-29,298788261.270555,2969654.96029477,1.790077753715e-10,0
1.08165625252926e-28,41118686199381.8,52532640406864.7,5.11045962142203e-29,97510230.8449459,993335.537698148,2.25357437323923e-10,0
1.53868772633761e-28,5.06604313470908e+15,6.90799418791546e+15,7.26977861685618e-29,12013784514.9187,241277959.391053,2.83708204583898e-10,0
2.1888283950154e-28,2.03277888126669e+16,2.94096644436762e+16,1.0341473185027e-28,48205999823.9987,1715357099.4676,3.57167468285167e-10,0
3.11367255409855e-28,1.00128569282626e+17,1.52835402008728e+17,1.47110487503239e-28,237448245733.83,13685302934.9834,4.49647202090384e-10,1.69409245675262e-10
4.42929048080004e-28,3.76865015581149e+17,6.03628941649026e+17,2.0926898079448e-28,893710331320.228,77362515480.5995,5.66072289053733e-10,8.36419036459696e-08
6.30079554687977e-28,1.27539326493946e+18,2.13245133984378e+18,2.97691259583355e-28,3024510342555.79,369021772840.128,7.12642789602238e-10,3.89209669969538e-06
8.96306636371455e-28,3.72420985595134e+18,6.46710297493497e+18,4.23474543125705e-28,8831716096374.16,1439716472507.25,8.97164117362141e-10,7.73196357456544e-05
1.27502246410987e-27,9.7390304354667e+18,1.74765839319853e+19,6.0240495111114e-28,23095463249080.9,4808562952381.87,1.12946270589708e-09,0.000801890538527757
1.81375683054863e-27,2.29796202658399e+19,4.24019995775812e+19,8.56938701544317e-28,54494641827465.1,13950062481247.1,1.42190930212764e-09,0.00507587810508211
2.58012225898975e-27,4.96058344444095e+19,9.36502772593542e+19,1.21902042280688e-27,117636938701686,35853489506049.3,1.790077753715e-09,0.0220213478790248
3.670299545789e-27,9.89815605999693e+19,1.90225693318914e+20,1.73409228518012e-27,234728190893441,82886527422954.5,2.25357437323923e-09,0.0715975868463636
5.22110869315689e-27,1.84389664326328e+20,3.58888864193688e+20,2.46679710795755e-27,437267831143707,174801352870173,2.83708204583898e-09,0.186145636950793
7.42718016490897e-27,3.23439227345055e+20,6.34244628276717e+20,3.50909119649055e-27,767014626143416,340344039872197,3.57167468285167e-09,0.402085928323533
1.05653815011201e-26,5.38247392750149e+20,1.05777503624554e+21,4.99178509070125e-27,1.27641791044254e+15,618187572075636,4.49647202090384e-09,0.724602372441756
1.50295648934994e-26,8.55114517375954e+20,1.67531433948799e+21,7.10096061814176e-27,2.02784723188572e+15,1.05669478290076e+15,5.66072289053733e-09,1.04290380866034
2.13799966299335e-26,1.30329046424055e+21,2.53253010679583e+21,1.01013246332118e-26,3.09066669615586e+15,1.71192602210005e+15,7.12642789602238e-09,1.0715016453474
3.04136719282989e-26,1.91176571400877e+21,3.66723108082405e+21,1.43694303957757e-26,4.53362530092828e+15,2.64257887837564e+15,8.97164117362141e-09,0.640060050339281
4.32643398487323e-26,2.70224517578683e+21,5.09678675688751e+21,2.04409359560786e-26,6.40819479525533e+15,3.89953536691756e+15,1.12946270589708e-08,0.16306609684072
6.15447916634148e-26,3.6755885260627e+21,6.79873930737662e+21,2.90778305925989e-26,8.71641384477884e+15,5.50646078737311e+15,1.42190930212764e-08,0.0122812606585354
8.75492702335576e-26,4.78913095526271e+21,8.68434591500013e+21,4.13640663905336e-26,1.13571056898546e+16,7.42769055341438e+15,1.790077753715e-08,0.000506295355144464
1.24541403281488e-25,5.9257645207072e+21,1.05701508874067e+22,5.8841596965489e-26,1.40525566294878e+16,9.52293280461808e+15,2.25357437323923e-08,0.000161963918064622
1.77163796910519e-25,6.8666260332002e+21,1.21635787373334e+22,8.37038965356999e-26,1.6283747160028e+16,1.14996132895666e+16,2.83708204583898e-08,4.55068906020688e-05
2.52020694393583e-25,7.30013891334578e+21,1.30925750994605e+22,1.1907124647498e-25,1.73117941363414e+16,1.28970355920656e+16,3.57167468285167e-08,4.49356200397163e-06
3.58506825379809e-25,6.91877803133962e+21,1.30124597421144e+22,1.693823385039e-25,1.64074221566692e+16,1.31654237039349e+16,4.49647202090385e-08,1.30594225460556e-06
5.09986468187359e-25,5.6250993186876e+21,1.17866361079504e+22,2.40951341708499e-25,1.33395490904382e+16,1.19002143736658e+16,5.66072289053733e-08,2.72521017862689e-08
7.25470700477392e-25,3.73425235149398e+21,9.64652196976258e+21,3.4276034670397e-25,8.85553120695122e+15,9.18638725495007e+15,7.12642789602238e-08,1.58734504105717e-10
1.03200333750386e-24,1.90593462874153e+21,7.16117696114733e+21,4.87586640686806e-25,4.51979726985433e+15,5.78653755519679e+15,8.97164117362141e-08,3.0862034783465e-13
1.46805499921397e-24,6.98476592291503e+20,4.95015680025418e+21,6.93606289240839e-25,1.65639080548151e+15,2.81659316479374e+15,1.12946270589708e-07,2.36125914325516e-16
2.08835127019061e-24,1.72099403750919e+20,3.3523708842976e+21,9.86675278462906e-25,408122295217739,998012051991849,1.42190930212764e-07,7.77232421954351e-20
2.97074089870055e-24,2.83197464464242e+19,2.34996631957754e+21,1.40357450650482e-24,67158396065258.5,244652833750636,1.790077753715e-07,1.16649984723191e-23
4.2259660111714e-24,4.62427316851915e+18,1.74418706743799e+21,1.99662587916387e-24,10966156407963.5,42642697842988.1,2.25357437323923e-07,8.35110223232666e-28
6.01156052868416e-24,1.94535329031705e+18,1.34182686623956e+21,2.84025884117411e-24,4613276005317.57,8194551235450.42,2.83708204583898e-07,2.95738281865759e-32
8.55162107184483e-24,1.35320491245381e+18,1.02538521247941e+21,4.04035145945615e-24,3209035491894.43,3649216049019.68,3.57167468285167e-07,5.33562562536078e-37
1.21649316525184e-23,9.23808812358455e+17,7.45374551242824e+20,5.74751838785977e-24,2190751185795.97,2355987674439.12,4.49647202090385e-07,5.02376795933349e-42
1.73049718722535e-23,5.61618693933342e+17,4.95024052816469e+20,8.1760133865267e-24,1331841397527.45,1432834274146.69,5.66072289053733e-07,2.51773686932901e-47
2.46168297573204e-23,2.90135922217331e+17,2.88379234211733e+20,1.1630618709783e-23,688038051961.118,746925509667.051,7.12642789602238e-07,6.82637082745903e-53
3.50181619348672e-23,1.21554009089487e+17,1.41074677376628e+20,1.65448960486377e-23,288257251921.214,317617185924.052,8.97164117362141e-07,1.01489209143351e-58
4.98143618567262e-23,3.93588356808126e+16,5.53132421470805e+19,2.35355996177554e-23,93336862331.0254,105117896327.908,1.12946270589708e-06,2.47021640711412e-07
7.08623899737605e-23,9.41530739346096e+15,1.65834146554544e+19,3.34800803667122e-23,22327775575.337,25933420807.1329,1.42190930212764e-06,1.80456444279223e-07
1.00803826961306e-22,1.60765125722022e+15,3.64571338164341e+18,4.76263957394941e-23,3812438083.49275,4616486462.0956,1.790077753715e-06,1.03217279905394e-13
1.43396398763965e-22,193091795517055,5.71113750058599e+17,6.7749944035085e-23,457904356.764594,584478933.18467,2.25357437323923e-06,8.38114292848208e-21
2.03985580689977e-22,16492254811862.5,6.33128605759435e+16,9.63762813769017e-23,39110285.9186819,53029486.139401,2.83708204583898e-06,9.80249222397414e-29
2.90175468059827e-22,1033436628851.21,5.05468560963487e+15,1.37098085383357e-22,2450726.26480024,3534818.92654859,3.57167468285167e-06,3.55301415922077e-37
4.12783109369442e-22,49222393523.3658,300307863704741,1.95026045280545e-22,116727.634047713,178457.341031315,4.49647202090385e-06,4.76628073991821e-46
5.87196073189669e-22,1830011159.07303,13707859529659.5,2.77430266304701e-22,4339.74980875535,7002.08712365309,5.66072289053733e-06,2.63167114602231e-55
8.35303626875804e-22,54000648.6531799,491526644634.179,3.94652686266489e-22,128.058948440516,217.468698585978,7.12642789602238e-06,6.41967251786161e-65
1.18824389489148e-21,1279113.11915047,14043947823.7126,5.61405014859825e-22,3.03333172952974,5.41457641738598,8.97164117362141e-06,7.27833401683869e-75
1.69031177205315e-21,24540.7996527044,323083984.105314,7.98615090375791e-22,0.0581968749597537,0.109117115820865,1.12946270589708e-05,3.98444594887156e-85
2.40451804467501e-21,384.332714594243,6036307.82486284,1.13605337625133e-21,0.000911419483094106,0.00179395329739954,1.42190930212764e-05,2.26538126017605e-90
3.42049740335473e-21,4.94698981310259,92281.2690545907,1.61606922940154e-21,1.17314574771234e-05,2.42265136607343e-05,1.790077753715e-05,4.39323059479769e-101
4.86575782297269e-21,0.0526546318935015,1162.01516393228,2.29890585144541e-21,1.24866959175076e-07,2.70372214029367e-07,2.25357437323923e-05,4.38876877161185e-112
6.92168313549941e-21,0.000465967543169014,12.1230201517646,3.27026096262413e-21,1.10501105216114e-09,2.50709619149173e-09,2.83708204583898e-05,2.30073752814105e-123
9.84629715890523e-21,3.44516592373177e-06,0.105336138456284,4.65204208207971e-21,8.16998196132242e-12,1.94097266304358e-11,3.57167468285167e-05,0
1.40066463378304e-20,2.13743060304458e-08,0.000765839627835575,6.6176662293259e-21,5.06877458358732e-14,1.26006890223171e-13,4.49647202090385e-05,0
1.99248649991863e-20,1.11711808697659e-10,4.67852157085764e-06,9.41382419807829e-21,2.64917127979126e-16,6.88641168328796e-16,5.66072289053733e-05,0
2.83437045285811e-20,4.93579427313579e-13,2.41058114356223e-08,1.33914408737643e-20,1.17049079983462e-18,3.1793968682987e-18,7.12642789602238e-05,0
4.03197505446746e-20,1.84943456320143e-15,1.05110487240531e-10,1.90497171927358e-20,4.38581112042204e-21,1.24402582926859e-20,8.97164117362141e-05,0
5.73560270622173e-20,5.89362115212972e-18,3.89050248552772e-13,2.70987811202729e-20,1.39763307677244e-23,4.13707765353187e-23,,
